,name,salary_min,salary_max,salary_currency,salary_type,salary_period,company_name,url,site
0,"Ведущий инженер / Главный специалист (направление отопление, вентиляция)",,,none,none,none,"ГУП ""Московский метрополитен""",https://www.superjob.ru/vakansii/veduschij-inzhener-37662599.html,superjob.ru
1,Инженер-строитель,80000.0,80000.0,руб.,gross,месяц,"БКК ""Коломенский""",https://www.superjob.ru/vakansii/inzhener-stroitel-37255855.html,superjob.ru
2,Инженер ПТО,90000.0,,руб.,gross,месяц,СОЮЗ,https://www.superjob.ru/vakansii/inzhener-pto-37333479.html,superjob.ru
3,Ведущий инженер-проектировщик систем водоснабжения и канализации (ВК),,,none,none,none,Инженерное дело,https://www.superjob.ru/vakansii/veduschij-inzhener-proektirovschik-sistem-vodosnabzheniya-i-kanalizacii-37300267.html,superjob.ru
4,Инженер-проектировщик ППР (ПТО),85000.0,85000.0,руб.,gross,месяц,ПКГ Аркада,https://www.superjob.ru/vakansii/inzhener-proektirovschik-ppr-32112126.html,superjob.ru
5,Инженер-технолог,,63500.0,руб.,gross,месяц,Азбука вкуса,https://www.superjob.ru/vakansii/inzhener-tehnolog-34993768.html,superjob.ru
6,Инженер по эксплуатации зданий и сооружений в управляющую компанию (ЖКХ),70000.0,,руб.,gross,месяц,"""УК"" Преимущество""",https://www.superjob.ru/vakansii/inzhener-po-ekspluatacii-zdanij-i-sooruzhenij-v-upravlyayuschuyu-kompaniyu-37089005.html,superjob.ru
7,Инженер по установке ДУТ / Автоэлектрик,,70000.0,руб.,gross,месяц,Национальная транспортная ассоциация,https://www.superjob.ru/vakansii/inzhener-po-ustanovke-dut-36409115.html,superjob.ru
8,Инженер по эксплуатации в Отдел SRE,,,none,none,none,SuperJob,https://www.superjob.ru/vakansii/inzhener-po-ekspluatacii-v-otdel-sre-36122782.html,superjob.ru
9,Data инженер,,,none,none,none,Сбербанк России,https://www.superjob.ru/vakansii/data-inzhener-37299123.html,superjob.ru
10,Главный инженер проекта (комплексный),160000.0,200000.0,руб.,gross,месяц,ЭКСПЕРТПРОЕКТ,https://www.superjob.ru/vakansii/glavnyj-inzhener-proekta-37339616.html,superjob.ru
11,Инженер технической поддержки видеооборудования,,50000.0,руб.,gross,месяц,Твой Дом,https://www.superjob.ru/vakansii/inzhener-tehnicheskoj-podderzhki-videooborudovaniya-36707841.html,superjob.ru
12,Инженер ПТО,90000.0,110000.0,руб.,gross,месяц,ЭСТ Консалтинг,https://www.superjob.ru/vakansii/inzhener-pto-31479541.html,superjob.ru
13,Инженер по видеоконтролю,63500.0,63500.0,руб.,gross,месяц,Государственный фонд кинофильмов Российской Федерации,https://www.superjob.ru/vakansii/inzhener-po-videokontrolyu-37059342.html,superjob.ru
14,Инженер электролаборатории,70000.0,70000.0,руб.,gross,месяц,СК Система,https://www.superjob.ru/vakansii/inzhener-elektrolaboratorii-36817802.html,superjob.ru
15,Инженер по обслуживанию дизель-генераторных установок (ДГУ),65000.0,,руб.,gross,месяц,,https://www.superjob.ru/vakansii/inzhener-po-obsluzhivaniyu-dizel-generatornyh-ustanovok-36260877.html,superjob.ru
16,Инженер ПТО,,90000.0,руб.,gross,месяц,Комэнерго,https://www.superjob.ru/vakansii/inzhener-pto-37332491.html,superjob.ru
17,Системный инженер,60000.0,70000.0,руб.,gross,месяц,"ПНФ ""ЛГ АВТОМАТИКА""",https://www.superjob.ru/vakansii/sistemnyj-inzhener-37377667.html,superjob.ru
18,Инженер ПТО,75000.0,,руб.,gross,месяц,Строительная компания,https://www.superjob.ru/vakansii/inzhener-pto-25829308.html,superjob.ru
19,Инженер связи и АТС (вахта),122000.0,,руб.,gross,месяц,Промстроймонтаж,https://www.superjob.ru/vakansii/inzhener-svyazi-i-ats-37484761.html,superjob.ru
20,Инженер-технолог 1 категории по ремонту подвижного состава,69000.0,,руб.,gross,месяц,"ГУП ""Московский метрополитен""",https://www.superjob.ru/vakansii/inzhener-tehnolog-1-kategorii-po-remontu-podvizhnogo-sostava-37486588.html,superjob.ru
21,Инженер-технолог (пищевое производство),80000.0,80000.0,руб.,gross,месяц,"БКК ""Коломенский""",https://www.superjob.ru/vakansii/inzhener-tehnolog-36474637.html,superjob.ru
22,Главный инженер по тестированию (Отчет о кредитной истории и Уведомления по кредитной истории),,,none,none,none,Сбербанк России,https://www.superjob.ru/vakansii/glavnyj-inzhener-po-testirovaniyu-37299044.html,superjob.ru
23,Инженер по ремонту и обслуживанию промышленных ИБП,,,none,none,none,ДокаСнаб,https://www.superjob.ru/vakansii/inzhener-po-remontu-i-obsluzhivaniyu-promyshlennyh-ibp-30513397.html,superjob.ru
24,Инженер по технологическому контролю,92000.0,92000.0,руб.,gross,месяц,Государственный фонд кинофильмов Российской Федерации,https://www.superjob.ru/vakansii/inzhener-po-tehnologicheskomu-kontrolyu-37058410.html,superjob.ru
25,Инженер по ТБ и ОТ,100000.0,120000.0,руб.,gross,месяц,ЭСТ Консалтинг,https://www.superjob.ru/vakansii/inzhener-po-tb-i-ot-29250326.html,superjob.ru
26,Инженер-строитель,72849.0,72849.0,руб.,gross,месяц,Правительство Москвы,https://www.superjob.ru/vakansii/inzhener-stroitel-36013200.html,superjob.ru
27,Инженер ПТО (слаботочные системы),60000.0,70000.0,руб.,gross,месяц,ТехСтрой,https://www.superjob.ru/vakansii/inzhener-pto-37660003.html,superjob.ru
28,Сервисный инженер ОВИК,70000.0,80000.0,руб.,gross,месяц,Синерджи Строй,https://www.superjob.ru/vakansii/servisnyj-inzhener-ovik-36863747.html,superjob.ru
29,Инженер (магниевые/алюминивые (цветные) сплавы),80000.0,,руб.,gross,месяц,Всероссийский научно-исследовательский институт авиационных материалов,https://www.superjob.ru/vakansii/inzhener-30922643.html,superjob.ru
30,Инженер КИПиА,,,none,none,none,Микояновский мясокомбинат,https://www.superjob.ru/vakansii/inzhener-kipia-35365695.html,superjob.ru
31,Инженер-механик,65000.0,65000.0,руб.,gross,месяц,Аплеона ХСГ,https://www.superjob.ru/vakansii/inzhener-mehanik-37352280.html,superjob.ru
32,Инженер ПТО по ЭОМ,80000.0,,руб.,gross,месяц,Столичная строительная компания,https://www.superjob.ru/vakansii/inzhener-pto-po-eom-36802113.html,superjob.ru
33,Инженер по эксплуатации,45000.0,,руб.,gross,месяц,Вкусвилл,https://www.superjob.ru/vakansii/inzhener-po-ekspluatacii-36849733.html,superjob.ru
34,Техник-инженер (в ТЦ),,,none,none,none,Мегаполис-Сервис,https://www.superjob.ru/vakansii/tehnik-inzhener-37252416.html,superjob.ru
35,Инженер-электроник,,130000.0,руб.,gross,месяц,JOBCART.RU,https://www.superjob.ru/vakansii/inzhener-elektronik-37630546.html,superjob.ru
36,Ведущий инженер-технолог (технологическое бюро),89000.0,,руб.,gross,месяц,Центр трудовых ресурсов,https://www.superjob.ru/vakansii/veduschij-inzhener-tehnolog-37408643.html,superjob.ru
37,Инженер-теплотехник,,,none,none,none,Леруа Мерлен Восток,https://www.superjob.ru/vakansii/inzhener-teplotehnik-35600758.html,superjob.ru
38,Инженер по подбору оборудования и составлению технико-коммерческих предложений,80000.0,100000.0,руб.,gross,месяц,СОЛАН-Д,https://www.superjob.ru/vakansii/inzhener-po-podboru-oborudovaniya-i-sostavleniyu-tehniko-kommercheskih-predlozhenij-37407368.html,superjob.ru
39,Главный инженер проектного отдела (наружные сети ВК),,,none,none,none,Комэнерго,https://www.superjob.ru/vakansii/glavnyj-inzhener-proektnogo-otdela-37046336.html,superjob.ru
40,Ведущий инженер (сметный отдел),,,none,none,none,"ГУП ""Московский метрополитен""",https://www.superjob.ru/vakansii/veduschij-inzhener-37254480.html,superjob.ru
41,Инженера DevOps,,,none,none,none,Сбербанк России,https://www.superjob.ru/vakansii/inzhenera-devops-37353787.html,superjob.ru
42,Инженер-проектировщик (электроснабжение),85000.0,,руб.,gross,месяц,JOBCART.RU,https://www.superjob.ru/vakansii/inzhener-proektirovschik-37679869.html,superjob.ru
43,"Ведущий инженер-конструктор (отдел конструкторско-технологической подготовки производства, бюро ЯЭУ)",89000.0,,руб.,gross,месяц,Центр трудовых ресурсов,https://www.superjob.ru/vakansii/veduschij-inzhener-konstruktor-37408379.html,superjob.ru
44,Инженер,,,none,none,none,ПКФ Техно Вендор,https://www.superjob.ru/vakansii/inzhener-29616317.html,superjob.ru
45,Инженер-программист ПЛИС,140000.0,175000.0,руб.,gross,месяц,Микроволновая Электроника,https://www.superjob.ru/vakansii/inzhener-programmist-plis-37269194.html,superjob.ru
46,Инженер-сметчик по проектным работам,90000.0,,руб.,gross,месяц,Строительная компания,https://www.superjob.ru/vakansii/inzhener-smetchik-po-proektnym-rabotam-37110553.html,superjob.ru
47,Инженер по охране труда и технике безопасности,,,none,none,none,Пятёрочка,https://www.superjob.ru/vakansii/inzhener-po-ohrane-truda-i-tehnike-bezopasnosti-37501178.html,superjob.ru
48,"Инженер-проектировщик, электрик (ЭОМ, ЭО, ЭС)",,,none,none,none,"Проектная компания ""Мегаполис""",https://www.superjob.ru/vakansii/inzhener-proektirovschik-34416564.html,superjob.ru
49,Инженер по материально техническому снабжению/менеджер отдела закупок в строительстве,,,none,none,none,Барстт,https://www.superjob.ru/vakansii/inzhener-po-materialno-tehnicheskomu-snabzheniyu-33970137.html,superjob.ru
50,Инженер-эколог,60000.0,70000.0,руб.,gross,месяц,Торговый Дом Нефтьмагистраль,https://www.superjob.ru/vakansii/inzhener-ekolog-37351202.html,superjob.ru
51,Инженер-эколог,65000.0,,руб.,gross,месяц,Твой Дом,https://www.superjob.ru/vakansii/inzhener-ekolog-31328486.html,superjob.ru
52,ВЭД-инженер,,,none,none,none,МИТ,https://www.superjob.ru/vakansii/ved-inzhener-37721863.html,superjob.ru
53,Сервисный инженер,45000.0,,руб.,gross,месяц,ХЕНДЗ холдинг,https://www.superjob.ru/vakansii/servisnyj-inzhener-36778529.html,superjob.ru
54,Инженер ПТО,39000.0,,руб.,gross,месяц,Мегаполис-Сервис,https://www.superjob.ru/vakansii/inzhener-pto-37327904.html,superjob.ru
