,name,salary_min,salary_max,salary_currency,salary_type,company_name,url,site
0,Инженер-строитель,50000.0,100000.0,руб.,net,ЭлектроКлуб,https://hh.ru/vacancy/45567850,hh.ru
1,Инженер в экспертный отдел,,,none,none,ООО Уральский центр промышленной безопасности,https://hh.ru/vacancy/45543010,hh.ru
2,Инженер КИПиА,,,none,none,ТОО Строительная компания Достык Вест,https://hh.ru/vacancy/45515608,hh.ru
3,Инженер-механик,,,none,none,ТОО Строительная компания Достык Вест,https://hh.ru/vacancy/45516998,hh.ru
4,Инженер по гидравлике (сервисный инженер),2100.0,,бел.руб.,net,ООО СИТИМОТОРС,https://hh.ru/vacancy/45533362,hh.ru
5,Инженер по эксплуатации,90000.0,100000.0,руб.,gross,ООО Каналсервис,https://hh.ru/vacancy/45490910,hh.ru
6,Инженер по тяговому электроприводу (сервисный инженер),2100.0,,бел.руб.,net,ООО СИТИМОТОРС,https://hh.ru/vacancy/45533536,hh.ru
7,Инженер Технических Служб,,,none,none,Аффилированные компании «Филип Моррис Интернэшнл» в России,https://hh.ru/vacancy/45466313,hh.ru
8,Сервисный инженер,50000.0,,руб.,gross,ООО Кубань Строй Снаб,https://hh.ru/vacancy/45464127,hh.ru
9,Инженер/ведущий инженер отдела инженерной подготовки,1000.0,,бел.руб.,net,УП Ремонтно-строительный трест Управления делами Президента Республики Беларусь,https://hh.ru/vacancy/45431177,hh.ru
10,Инженер ВЭС,300000.0,,руб.,net,ТОО Казгидро,https://hh.ru/vacancy/45474172,hh.ru
11,Сервисный инженер / Инженер-электронщик,150000.0,,руб.,net,ООО ИКС-Суппорт,https://hh.ru/vacancy/45261576,hh.ru
12,Инженер,90000.0,,руб.,net,АО Вектор-Бест,https://hh.ru/vacancy/44976505,hh.ru
13,Инженер-конструктор (техник),70000.0,,руб.,net,ООО ТД ДИАКОМ,https://hh.ru/vacancy/45486851,hh.ru
14,Инженер-электроник,100000.0,150000.0,руб.,net,ООО Сервисгазавтоматика,https://hh.ru/vacancy/45553305,hh.ru
15,Инженер-проектировщик,40000.0,75000.0,руб.,net,ООО GoodRain,https://hh.ru/vacancy/45454659,hh.ru
16,Инженер машиностроитель,50000.0,100000.0,руб.,gross,ПОБТ,https://hh.ru/vacancy/44860712,hh.ru
17,Инженер,92000.0,115000.0,руб.,gross,ООО НПЦ Трезор,https://hh.ru/vacancy/45318028,hh.ru
18,Инженер ПЭБ и ОТ,124000.0,124000.0,руб.,net,Intertek (Moody International),https://hh.ru/vacancy/45545452,hh.ru
19,Инженер,80000.0,120000.0,руб.,net,ООО Национальные Технологии,https://hh.ru/vacancy/42612013,hh.ru
20,Ведущий инженер,,150000.0,руб.,net,ООО ВиЭй сервисиз,https://hh.ru/vacancy/45122201,hh.ru
21,Ведущий инженер,,150000.0,руб.,net,ООО ВиЭй сервисиз,https://hh.ru/vacancy/45379032,hh.ru
22,Инженер участка,80000.0,,руб.,gross,ЗАО Раском,https://hh.ru/vacancy/45566928,hh.ru
23,Сервисный инженер,80000.0,110000.0,руб.,gross,ООО Пневмакс,https://hh.ru/vacancy/45555671,hh.ru
24,Главный инженер,,200000.0,руб.,net,ООО Управляющая компания Норд Эстейт,https://hh.ru/vacancy/44901120,hh.ru
25,Инженер-электрик,50000.0,70000.0,руб.,net,"ЗАО ЭНЕРГИЯ, НПП",https://hh.ru/vacancy/44923564,hh.ru
26,Инженер ПТО,70000.0,80000.0,руб.,net,ООО Технолог,https://hh.ru/vacancy/45314360,hh.ru
27,Вудущий инженер,87000.0,,руб.,gross,ЗАО Связьстройдеталь,https://hh.ru/vacancy/44771596,hh.ru
28,Инженер по наладке лазерного комплекса,80000.0,,руб.,net,ООО ЭТАЛОН-НЕФТЕГАЗСЕРВИС,https://hh.ru/vacancy/45337739,hh.ru
29,Инженер по организации эксплуатации и ремонту,35000.0,,руб.,gross,ООО Разуменское,https://hh.ru/vacancy/45443518,hh.ru
30,Ведущий инженер,,150000.0,руб.,net,ООО ВиЭй сервисиз,https://hh.ru/vacancy/45122200,hh.ru
